Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
"Research Scientist, Analytical & Quality Assurance",$81K-$131K (Glassdoor est.),"Apply

Description

This position is within the Analytical and Quality Assurance group at Living Proof. The qualified individual will develop new GC/MS and HPLC assays, perform method validations, investigate complex analytical problems, and support the overall quality activities of the group. The incumbent will provide leadership for multiple hands-on projects and facilitate cross functional team interactions among a diverse group of scientists within Living Proof’s Product Development, Discovery, and external Scientific Advisory teams.

Key Responsibilities
Work collaboratively with a multidisciplinary team to analytically support the research and development of new hair care technology and products
Develop new methods to substantiate claims for Living Proof proprietary technology
Develop new methods to analyze for active ingredients in complex cosmetic formulations
Routinely operate, troubleshoot, and maintain GC/MS, HPLC, GPC, FTIR, Raman and other instrumentation
Author and review analytical test methods, validation reports, standard operating procedures, and technical reports
Interpret MS, spectroscopic and chromatographic data and generate technical reports
Develop and manage relations with external CROs
Present and discuss results and progress to a cross functional team
Assist with QA/QC activities as needed

Requirements

A passion and enthusiasm for innovation will be an asset.
PhD in Chemistry, Biochemistry, or closely related field. Or MS with relevant industry experience.
3-5 years of relevant analytical laboratory experience (i.e. method development, instrument troubleshooting)
Proven problem solving and strong critical thinking skills
Highly motivated to work both independently and on small teams; embracing change and risk, and exhibiting flexibility
Demonstrates an innovative spirit along with the ability to apply technical knowledge in insightful and creative ways
Very strong interpersonal skills, written and oral communication skills
Exhibits excellent organization, planning and multi-tasking skills; must be capable of handling multiple projects/tasks at the same time
Preferred Skills
Significant hands on experience with HPLC and/or GC/MS, including instrument maintenance, method development, method validation, and quantitation activities
Experience analyzing polymers and/or proteins by GPC or other methods
Practical work on analyzing and preparing complex sample matrices including, but not limited to: emulsions, gels, waxes, aerosols
In-depth knowledge of FTIR and Raman data interpretation, processing and chemometric modeling
Strong knowledge and experience with data analysis and statistical software such as JMP
Experience with Agilent Chemstation or Masshunter software
Knowledge in analysis techniques of hair and/or proteins
Experience working in a GMP/GLP/ISO9001 environment, and knowledge of relevant regulatory guidelines (FDA, ICH, ISO, REACH, etc)",3.9,"Living Proof
3.9","Boston, MA","Boston, MA",51 to 200 employees,2005,Company - Public,Beauty & Personal Accessories Stores,Retail,$50 to $100 million (USD),-1
Data Analyst,$81K-$131K (Glassdoor est.),"Data Analyst

Position Description

TNS has an exciting opportunity for a temporary data analyst working on our Call Guardian products! In this role you will:

•Practice of using Internet information and other media to conduct research and document trends in robocalling and call authentication.
•Practice of using Internet information, especially free information on websites, in researching consumer complaints (or lack thereof) of unwanted and illegal robocalls.
•Use writing skills to update technical and process documentation to be shared internally and with customers.
•Use writing skills to develop stories regarding robocalling practices and how to combat bad robocalls.
•Use analytical skills to assist QA teams in performing software testing functions.
•Use analytical skills to review data entries, and review performance indicators to review robocalling data.
•Design experiments leading to better understanding and ways to improve customer experience by focusing on wanted and unwanted robocalls.
•Conduct handset testing to compare various robocalling solutions available in the market.
•Evaluate new data sources to determine how they might be utilized by TNS in combating robocalls.
•Help trouble-shoot data issues and work closely with clients, data scientists, operations, customer care and engineering.
•Maintain “Buddy Book” instruction manual documenting job responsibilities and functions so that other team members could complete such tasks in an absence.

Qualifications

-Candidate must be a
self-starter, have the ability to multi-task, with limited supervision,
and have solid verbal and written communication skills.
Strong analytical skills
with the ability to collect, organize, analyze and disseminate significant
amounts of information with attention to detail and accuracy.
Strong Writing skills
with the ability to write stories, blogs, and update technical documentation.
An understanding of
Microsoft Office (Outlook, Excel, Word and PowerPoint) and basic knowledge
of databases (SQL, etc.) as well as adept at queries, report writing and
presenting findings (Excel and PowerPoint).
Major studies in Mathematics,
Economics, Computer Science, Information Management or Statistics.

We have been delivering industry-leading solutions for the payments, financial and telecommunications industries since 1990. We are the preferred supplier of networking, integrated data and voice services to many leading organizations in the global payments and financial communities, as well as a provider of extensive telecommunications network solutions to service providers.

We are a privately held company with a healthy balance sheet, secure assets and a loyal customer base that includes some of the largest global blue-chip companies in the world. Many of the world’s leading companies continue to count on us as their primary provider of a range of networking and communication services, enabling them to expand regionally, nationally and globally. We provide services to customers in over 60 countries throughout the world.

We manage some of the largest real-time community networks in the world, enabling industry participants to simply and securely interact and transact with other businesses, to access the data and applications they need, over managed and secure communications platforms. Our existing footprint supports millions of connections and provide access to critical databases. Our network securely blends private and public networking to enable customers to utilize a single connection for ""one-to-many"" and ""many-to-many""connections over a global platform.

Since our launch we have helped our customers and communities of interest, requiring secure and reliable communications solutions, to evolve from legacy to leading-edge technologies. Today the company provides a full range of services from dedicated connections to managed IP network solutions, providing local support and global reach to medium and large enterprises and service providers.

Application Instructions

Applicants are encouraged to submit an electronic resume when applying for our positions. Job postings are open until filled, unless otherwise specified.",3.2,"Transaction Network Services
3.2","Reston, VA","Reston, VA",501 to 1000 employees,-1,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
Lead Data Engineer,$81K-$131K (Glassdoor est.),"1 Broadway (21026), United States of America, Cambridge, Massachusetts

At Capital One, were building a leading information-based technology company. Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. We measure our efforts by the success our customers enjoy and the advocacy they exhibit. We are succeeding because they are succeeding.

Guided by our shared values, we thrive in an environment where collaboration and openness are valued. We believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. We elevate each other and obsess about doing the right thing. Our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good.

Lead Data Engineer

Being Capital One Tech:

At Capital One, we consider ourselves the bank a technology company would build. Were delivering best-in-class innovation so that our 65 million customers - and counting - can manage their finances with ease. Our reality and vision empower our engineers to use artificial intelligence and machine learning to transform real-time data, software, and algorithms into financial clarity.

Were all-in on the cloud and a leader in the adoption of open source, RESTful APIs, microservices, and containers. We build our own products and release them with a speed and agility that allows us to get new customer experiences to market quickly. Were going boldly where no bank has gone before. And, as a founder-led company, were inspired and empowered to make, break, do, and do good. So, lets do something great together.

Your #LifeatCapitalOne

Looking to work somewhere with the flexibility of a start-up but the financial muscle of a Top-10 bank? Youre in the right place! And heres what that means for you

You'll have a flexible work schedulewe want to understand where and when you're at your best so you have a healthy work-life balance. Diversity and Inclusion are cultural norms hereyoull have access to active local chapters of Women in Tech, Blacks in Tech, and Hispanics in Tech and more. Plus, youll be given time to support the next generation of technologists by volunteering with youth programs like Capital One Coders - our engineer-led experience that teaches middle school students in underserved communities how to code. Want to learn more? See what our associates are up to at #LifeatCapitalOne!

Calling All Data Engineering Leaders:

A hub for innovation, our New York presence is expanding, and we need Data Engineering Leaders who know their stuff to join our team. As a Capital One Data Engineer, youll have the opportunity to be on the forefront of driving a major transformation within Capital One. Youll work with a team of developers with deep experience in machine learning, distributed microservices, and full stack systems. Youll collaborate with digital product managers, and deliver robust cloud-based solutions to drive powerful experiences that help millions of Americans achieve financial empowerment. Want to learn more? Check out the low-down on our high-tech.

Who You Are:
You are fun to work with youre excited by a team environment
You are curious. You like to learn new technologies, and you adapt well to change
You are passionate about current state-of-the-art software technologies and tools, with experience implementing them effectively
You are excited about working with cloud-native stack, building on AWS using technologies like Kubernetes and Serverless
You possess a sense of intellectual curiosity and a burning desire to learn
You are motivated and actively looking for ways to contribute
You are passionately focused on the customer and the details that make their experience exceptional
You value data and truth over ego
You possess a strong sense of engineering craftsmanship, take pride in your code
Youre pragmatic - you make the best use of time and resources to find the simplest workable solution
You think and act like an owner, taking personal responsibility for both team and product success
You possess great communication and reasoning skills, including the ability to influence and make a strong case for technology choices
You thrive in collaborativeagile teams and are ready to take on new and unexpected challenges while building the next wave of engineering solutions
What Youll Own:
Collaborating with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies
Leading the craftsmanship, security, availability, resilience, and scalability of your solutions
Bringing a passion to stay on top of current trends, experiment with and learn new technologies, participate in internal & external technology communities, and mentor other members of the engineering community
Encouraging innovation, implementation of cutting-edge technologies, outside-of-the-box thinking, teamwork, and self-organization
Assisting in the hiring of top engineering talent and maintaining our commitment to diversity and inclusion
Basic Qualifications:
Bachelors Degree
At least 5 years of experience in application development
At least 2 years of experience in big data technologies (Cassandra, Accumulo, HBase, Spark, Hadoop, HDFS, AVRO, MongoDB, or Zookeeper)
Preferred Qualifications:
Master's Degree
8+ years of experience in application development
2+ years of experience with Agile engineering practices
5+ years of experience developing Java based software solutions
5+ years of experience in at least one scripting language (Python, Perl, JavaScript, Shell)
5+ years of experience developing software solutions to solve complex business problems
5+ years of experience with UNIX/Linux
5+ years of experience providing technical leadership on relevant applications
2-years of experience working on streaming data applications (Spark Streaming, Kafka, Kinesis, and Flink,
2+ years of experience with Amazon Web Services (AWS), Microsoft Azure or another public cloud
2+ years of experience with Ansible / Terraform
1+ years in-depth experience with the Hadoop stack (MapReduce, Pig, Hive and, Hbase)
1+ years of experience with NoSQL implementation (Mongo and Cassandra)
At least 1 year of people management experience
Capital One will consider sponsoring a new qualified applicant for employment authorization for this position.",3.9,"Capital One
3.9","Cambridge, MA","Mc Lean, VA",10000+ employees,1994,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),"J.P. Morgan, Wells Fargo, McKinsey & Company"
Data Engineer,$81K-$131K (Glassdoor est.),"Data Engineer

Job Details
Level
Experienced
Job Location
New York (Home Office) - New York, NY
Position Type
Full Time
Education Level
4 Year Degree
Salary Range
Undisclosed
Travel Percentage
Undisclosed
Job Shift
Day
Job Category
Information Technology
Description
Greater New York Mutual Insurance Company (""GNY"") is an A+ rated, financially stable and growing property casualty insurance company with locations throughout the Northeast. We are currently looking for a dynamic and highly motivated Data Engineer for our New York office.

Responsibilities:
Develop, construct, test, and maintain architectures, such as databases and analytic environments and platform required for structured, semi-structured and unstructured data
Design and develop data pipelines that deliver accurate, consistent, and traceable datasets for data science projects
Support regular and ad-hoc data needs for data scientists
Provide recommendations and implement ways to improve data reliability, efficiency, and quality
Qualifications
Bachelor’s or Master’s degree obtained from an accredited institution preferably in Computer Science, Computer Engineering, and Software Engineering, Data Science, or a related field
3-5 years of professional experience in data science or related field
Experience in database deployment and management and proficient in SQL
Experience in data warehousing and ETL (Extract, Transform, and Load)
Proficient in R, Python, VBA, Excel and Word
Excellent oral and written communication skills",3.7,"GNY Insurance Companies
3.7","New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster"
Senior Clinical Data Scientist Programmer,$81K-$131K (Glassdoor est.),"Description and Requirements

MedAvante-Prophase is searching for a Senior ClinicalDataScientist Programmer to join our team. In this role, you will be responsible for building programs to create SAS datasets from the clinical database, external data sources, and other sources while following the clinical study's protocol or statistical plans. This role will also serve as a mentor to the programming team. This position will be located at our Hamilton NJ location.

Educational Requirements:
Bachelor’s degree required; advanced degree preferred
Qualifications:
A minimum of 7 years SAS and/or ETL programming experience in a business environment required
A minimum of 5 years of SAS Data Programming experience in clinical trials strongly recommended.
Experience with electronic Clinical Database Systems is required and experience with electronic reporting applications preferred
Knowledge of GCP is essential
Must be detail oriented with a track record of problem solving and willingness to work in a dynamic environment
Must have good verbal and written communication skills
Position requires the ability to quality check all data deliverables
Ability to create presentation and interpret the data to internal and external clients
Proficient using Microsoft Excel required
Experience using other software such as R or Power BI is a plus
Essential Duties:
Build as well as providing guidance to other programmers, SAS datasets from clinical database.
Develop SAS macros, templates and utilities for data cleaning and reporting, giving guidance and training to team.
Utilize SDTM guidelines to build datasets.
Communicate with an internal team to create deliverables for clients.
Write SAS programs to generate tables, listings, and figures datasets, recommending more effective methods or enhancement across the department.
Be the SAS SME in working with Clinical Data Sciences member on various clinical projects.
Participating in identifying and creating edit checks per the data transfer plan.
Creating and provide study specific reports, using SAS.
Monitoring of data transfers for ongoing trials to identify study conduct and/or data quality issues.
Provide mentorship and guidance to programming team.
Travel Requirements:
Ability to travel domestic and internationally, less than 10% of the time, including overnight stays if necessary, consistent with project needs and office location.
About Us:

MedAvante-ProPhase, a subsidiary of WIRB-Copernicus Group (WCG) was founded in 2002 with the goal of helping to bring better drug therapies to market through smarter, faster clinical trials. With this goal in mind, MedAvante-ProPhase set out to solve one of Pharma’s most intractable problems: the bias and variability that cause failed or inconclusive trials for Central Nervous System (CNS) therapies. A few years later, MedAvante-ProPhase experts pioneered Central Ratings and introduced the concept of Central Review utilizing their groundbreaking Virgil eSource solution.

WCG is proud to be an equal opportunity employer – Qualified applicants will receive consideration for employment without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, age, marital status, disability, veteran status or any other status protected by law.",3.6,"WCG (WIRB-Copernicus Group)
3.6","Hamilton, NJ","Princeton, NJ",1001 to 5000 employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1
Computational Scientist,$81K-$131K (Glassdoor est.),"Type of Requisition:

Regular

Clearance Level Must Currently Possess:

Interim Secret

Clearance Level Must Be Able to Obtain:

Secret

Suitability:

No Suitability Required

Public Trust/Other Required:

None

Job Family:

Data Science

Job Description:

The Department of Defense (DoD) High Performance Computing Modernization Program (HPCMP) Productivity Enhancement and Training (PET) initiative. PET enhances the capability and productivity of the HPCMP community through training, collaboration, tool and software development, technology transfer, and outreach.

We currently have a position in Stennis, MS for a Computational Scientist.

You will join teams of computational experts representing a critical mass of expertise in key areas of support for the HPCMP.

Key Computational Functional Areas that may be supported include:
Computational Fluid Dynamics (CFD)
Computational Structural Mechanics (CSM)
Climate/Weather/Ocean Modeling and Simulation (CWO)
Environmental Quality Modeling and Simulation (EQM)
Forces Modeling and Simulation (FMS)
Integrated Modeling and Test Environments (IMT)
Space and Astrophysical Sciences (SAS)
Signal/Image Processing (SIP)
Duties may include the following;
Software Refactoring to Optimize Performance for Emerging Architectures
High Performance Data Analytics (HPDA): Technical support for customer projects that span the range of computational disciplines that require data analytical tools including, AI and ML.
Emerging Hardware (HW) Exploration: Supporting the evaluation of emerging hardware for potential future use
Technical Skills should include the following:
Expertise in the use of various programming languages used in scientific high-performance computing (FORTRAN, C/C++, Perl, Python), scientific visualization software (e.g., EnSite), and mesh generation software (e.g. Pointwise, GRIDGEN) is also preferred.
Experience with Linux on large scale systems.
Extensive knowledge of HPC and parallel programming techniques (e.g. MPI, OpenMP)
Bachelor of Science or higher preferred
5+ years Experience with HPC science or engineering programs
Must be a US citizen and be eligible for a DoD clearance
#GDITPRIORITY

Scheduled Weekly Hours:

40

Travel Required:

Less than 10%

Telecommuting Options:

Telecommuting Not Allowed

Work Location:

USA MS Stennis Space Center

Additional Work Locations:

We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.

GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.",3.4,"General Dynamics Information Technology
3.4","Stennis Space Center, MS","Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),"SAIC, Leidos, Northrop Grumman"
"Temporary Assignment - Clinical Laboratory Scientist I, 3rd shift",$81K-$131K (Glassdoor est.),"The Clinical Laboratory Scientist I performs laboratory analysis on clinical specimens using established laboratory procedures. The Clinical Laboratory Scientist I duties will include but are not limited to; processing of specimens, performance of moderate, and highly complex analytical testing, establishing, performing and documenting quality assurance, quality control, equipment maintenance, and accurately documenting all work performed under the direction of the Laboratory Medical Director. As a Clinical Laboratory Scientist I you will recognize and resolve problems using good laboratory practices.
There are two shift options available for full-time: Tuesday-Friday 8:00pm-6:30am or Saturday-Tuesday 8:00pm-6:30am.

Performs moderate, and/or highly complex analytic processes without direct supervision. Interprets problems with specimens which meet the rejection criteria for unacceptable samples. Makes the decision to reject a sample and request recollection to ensure validity of results.
Operates laboratory instruments and ensures proper functioning of laboratory equipment.
Completes and documents required maintenance activities on equipment, recognizes and elevates potential issues reporting service needs to leadership for resolution.
Performs quality control procedures as specified and maintains quality control records and documentation necessary to meet the standards of accrediting agencies.
Understands appropriate specimen collection, handling and transport procedures.
Prepares specimens for analysis and determines acceptability of samples within guidelines.
Assists in developing procedures for specimen collection, handling and transport to maintain specimen integrity and viability.
Validates acceptability of test results by reviewing test parameters.
Identifies the technical, instrumental and/or physiologic causes of unexpected test results.
Monitors quality assurance and assists in data collection and preparation of QA indicators.
Performs internal and external proficiency testing. Handles proficiency testing samples in the same manner as patient samples.
Maintains clean and orderly work area. Cleans bench surfaces and equipment each shift or after contamination or spill.
Meets work product output expectations maintaining all section turn-around times.
Participates in continuing education and staff meetings. Prepares and presents continuing education programs for department personnel as requested. Responsible for own professional development.
Applies step by step thinking, problem solving and critical thinking patterns.
Contributes to design, research, review and writing of laboratory manuals. Remains informed of procedure updates and changes.
Complies with safety and hazard regulations as outlined in the Clinical Laboratory Safety Manual. Failure to follow safety protocols will result in disciplinary action. Understands, maintains and enforces safety guidelines.
Observes principles of data security and patient confidentiality. Maintains ethical standards in the performance of testing and in interactions with patients, co-workers and other health care professionals.
Demonstrates adaptability by embracing changes in the laboratory with a positive attitude.
Uphold company mission and values through accountability, innovation, integrity, quality, and teamwork.
Support and comply with the company’s Quality Management System policies and procedures.
Regular and reliable attendance.
Ability to work overtime as needed.
Ability to work outside assigned schedule as needed.
Ability to lift up to 40 pounds for approximately 25% of a typical working day.
Ability to work seated for approximately 25% of a typical working day. Ability to work standing for approximately 75% of a typical working day.
Ability to work in front of a computer screen and/or perform typing for approximately 75% of a typical working day.
Ability to comply with any applicable personal protective equipment requirements.

Minimum Qualifications
Bachelor's degree in Biology, Chemistry, Biochemistry, Microbiology, Molecular Biology, Clinical Laboratory Sciences, or a similar life sciences degree, which includes a minimum of 6 Chemistry credits, 6 Biology credits and a combined total of 24 credits in Chemistry and Biology.
3+ months of laboratory experience, including laboratory coursework, internships, and/or research assistantships.
Authorization to work in the United States without sponsorship.
Demonstrated ability to perform the Essential Duties of the position with or without accommodation.
Preferred Qualifications
1+ years of experience working in a clinical laboratory setting.
Experience in molecular testing.
#LI-AL1

We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to age, color, creed, disability, gender identity, national origin, protected veteran status, race, religion, sex, sexual orientation, and any other status protected by applicable local, state or federal law. Applicable portions of the Company’s affirmative action program are available to any applicant or employee for inspection upon request.",4.0,"Exact Sciences Corporation
4.0","Madison, WI","Madison, WI",1001 to 5000 employees,1995,Company - Public,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
Data Scientist,$81K-$131K (Glassdoor est.),"The Data Scientist supports the development of statistical models that will enable future growth and profitability for our book of business through appropriate pricing, underwriting and risk segmentation. He/she will report to the Manager of Data Science and will be involved in research, development and implementation of analytical solutions based on statistical models.
Essential Functions and Responsibilities
Performs data mining and data cleansing tasks.
Prepare datasets for modeling through balancing and validation.
Produces predictive models which enable the creation of rating plans and evaluation of risk.
Assists decision makers with studies that evaluate new business models to evaluate customers’ profitability including customers and/or risk segmentation, retention and lifetime value modeling.
Communicates to diverse audiences, including technical and non-technical.
Manages projects of moderate complexity.
Supports modeling requests made by other departments.
Works closely with others to gain strong understanding of insurance concepts and processes.
Perform other job-related duties as assigned.
Qualifications and Education
Broad thinker with the ability to synthesize information from various sources and apply that information to concrete business problems. Strong decision-making skills.
Solid skills and training in predictive modeling, data mining and other quantitative and research analytics (, Multivariate Analysis, Bayesian Methods, Generalized Linear Models, Non-Linear Models, Decision Trees, Non- Parametric estimation etc.).
Strong programming ability in SAS, SQL, R or other programming languages and proficiency in scripting languages and ability to build code and algorithms to tackle statistical problems.
Excellent written and oral communication and presentation skills.
Self-starter and strong individual contributor.
Solid understanding of database principles and experience working with large databases.
Knowledge of auto insurance will be a plus.
1 or more years of experience developing and implementing multivariate predictive models using GLM and other statistical methods.
Masters in economics, statistics, or related field required, PhD preferred.
About the Company
The Plymouth Rock Company and its affiliated group of companies write and manage over $1.4 billion in personal and commercial auto and homeowner’s insurance throughout the Northeast and mid-Atlantic, where we have built an unparalleled reputation for service. We continuously invest in technology, our employees thrive in our empowering environment, and our customers are among the most loyal in the industry. The Plymouth Rock group of companies employs more than 1,800 people and is headquartered in Boston, Massachusetts. Plymouth Rock Assurance Corporation holds an A.M. Best rating of “A-/Excellent”.",3.3,"Plymouth Rock Assurance
3.3","Woodbridge, NJ","Boston, MA",1001 to 5000 employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance"
Health Data Scientist - Biomedical/Biostats,$81K-$131K (Glassdoor est.),"Evidation Health is a new kind of health and measurement company that provides the technology and guidance to understand how everyday behavior and health interact. The volumes of behavior data generated from wearables and smartphones has opened up new ways to analyze individuals' behavior and health in real time. With a virtual pool of 3 million research participants, Evidation Health undertakes research for innovative biopharma and health care companies to transform how diseases are identified, treated, and monitored.

We're looking to fill multiple positions with outstanding applied scientists and engineers who want to use analytics and signal processing to understand and harness vast amounts of multi-variate time series data from connected wearables, sensors, and other mobile data in order to infer changes in health status and disease progression over time. The ideal candidates could have disciplinary training from several disciplines (machine learning, biostatistics, signal processing) and experience building models and applications from biomedical time series data.

We value problem-solving skills and an attitude towards learning: Our work lies at the intersection of many diverse fields including machine learning, signal processing, and epidemiology. We seek great communication and accountability, people who think people first.

If you thrive on autonomy and open-ended challenges, this is the perfect opportunity to take your career to the next level.

We have offices in San Francisco, San Mateo, and Santa Barbara, and are considering candidates for all three offices, as well as remote.

RESPONSIBILITIES
Analyze continuous signals from biomedical devices to extract features predictive of health outcomes
Understand impact of missing data and imputation techniques
Communicate with a team of data scientists drawing from a very diverse set of expertise
Build re-usable tools and models to predict health-related variables from time-series continuously collected from connected devices and apps
Work with a team of data scientists with very diverse backgrounds and expertise to define tasks and performance metrics
QUALIFICATIONS


Minimum Qualifications:
PhD in biomedical engineering, electrical engineering, data science, computer science, biostatistics, or related discipline, OR
Masters in biomedical engineering, electrical engineering, data science, computer science, biostatistics, or related discipline with 2+ years of industry experience
Experience in health data science or related fields (academics OK)
Proficiency in Python, Matlab, or R
High level of motivation and willingness to learn new tools and ideas. Health Data Science is a nascent field where methods and concepts are quickly evolving
Preferred Qualifications:
Strong foundation on software engineering best practices
Experience working with biomedical time-series data
Experience with extracting features from wearable sensors
Knowledge of deep learning frameworks: Keras and TensorFlow
Understanding of statistics: significance tests, source of biases, mixed effect models, experiment design
BENEFITS
Health, dental, and vision benefits for you and competitive coverage for your family
Relocation support
Equity
Flexible work hours
Open vacation policy - take time when you need it
Support for remote work when needed
Relaxed work environment
Your choice of computing equipment and gear
Lots of opportunities for growth
Opportunity to work on fascinating challenges that improve people's lives
EVIDATION HEALTH VALUES DIVERSITY AND IS COMMITTED TO EQUAL OPPORTUNITY FOR ALL PERSONS WITHOUT REGARD TO RACE, COLOR, CREED, RELIGION, MARITAL STATUS, AGE, NATIONAL ORIGIN OR ANCESTRY, POLITICAL ACTIVITY OR AFFILIATION, PHYSICAL OR MENTAL DISABILITY, MEDICAL CONDITION INCLUDING GENETIC CHARACTERISTICS, MARITAL STATUS, SEXUAL ORIENTATION, GENDER IDENTITY, SEX OR GENDER.",4.0,"Evidation
4.0","Santa Barbara, CA","San Mateo, CA",51 to 200 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Cyber Systems Engineer / Data Science,$81K-$131K (Glassdoor est.),"Entegra Systems is almost one year in to a new, five year PRIME contract in CSD. We are currently recruiting Systems Engineers to support a mission involved with the evaluation and defense of our nation's cybersecurity posture. Our engineers will have the opportunity to help shape our nation's cybersecurity strategy. You’d have access to leading edge technology and a long-term opportunity to work with cybersecurity thought leaders who are shaping future work. You would be working with the MITREATT&CK framework and using data modeling techniques and tools such as Neo4J graph database, as well as other GOTS tools to model cyber knowledge. This mission also supports the Cybersecurity Directorate Chief Data Steward and other key parts of the Cybersecurity Strategic Mission Management organization.
Candidates will be responsible for the analysis of user’s requirements, creation of concept of operations documents, and providing high level system architectures to develop system requirements specifications. Analyzes system requirements and leads design and development activities. Will guide users in formulating requirements, advises alternative approaches, and conducts feasibility studies. Provides technical leadership for the integration of requirements, design, and technology. Incorporates new plans, designs and systems into ongoing operations. Works as part of a team with project managers and customers to fulfil requirements.
Requirements: Fourteen (14) years’ experience in programs and contracts of similar scope, type and complexity within the Federal Government is required. Bachelor’s degree in System Engineering, Computer Science, Information Systems, Engineering Science, Engineering Management, or related discipline from an accredited college or university is required. Five (5) years of additional SE experience may be substituted for a bachelor’s degree.

Entegra Systems designs, develops and deploys advanced technology and performs critical analytical roles to support our nation’s most important intelligence missions. Whether as a valued partner to other leading contractors, or directly for federal customers, Entegra brings innovative thinking, top-tier talent, and a positive attitude to every aspect of every project. Ethics and integrity are at the heart of our name, our brand, our people, our product, our way of doing business. Ethics and integrity are our core values that guide everything we do.
The work is challenging. The team is top-notch. The benefits are almost too good to be true.
There’s a reason Entegra is such a terrific place to work. Our founders looked at their own experiences as employees, and consciously decided to create a workplace that represented the “best of the best” of where they’d worked before. And make it even better.
Competitive pay is a given, though at Entegra, you do get paid for every hour you work. Our benefits have become something of a legend in our community. They’re that good. Because our people are our most important investment. Everybody gets time and budget for training. And we always work with our people to make sure their careers are on trajectories that work for them and us.
We’re not a company that’s just about filling seats. We’re about filling expectations — for our clients, our staff, our company. You’ll also find here a diverse, collegial atmosphere marked by mutual respect. Best of all, you’ll do important work with talented people. And you’ll make a difference for your country.",4.5,"Entegra Systems
4.5","Annapolis Junction, MD","Hanover, MD",51 to 200 employees,-1,Company - Public,IT Services,Information Technology,$1 to $5 million (USD),-1
